comb,Options,run,f1
8class_NB,JCN,28,0.732689155
8class_NB,JCN,29,0.788172062
8class_NB,JCN,30,0.7630751
8class_NB,JCN,31,0.667542857
8class_NB,JCN,32,0.776769071
8class_NB,JCN,33,0.714133663
8class_NB,JCN,34,0.73547086
8class_NB,JCN,35,0.705222573
8class_NB,JCN,36,0.741843263
8class_NB,JCN,37,0.710749637
8class_NB,JCN,38,0.644586155
8class_NB,JCN,39,0.711954016
8class_NB,JCN,40,0.73217419
8class_NB,JCN,41,0.746514157
8class_NB,JCN,42,0.783480506
8class_NB,JCN,43,0.722391808
8class_NB,JCN,44,0.679072572
8class_NB,JCN,45,0.70941943
8class_NB,JCN,46,0.677396381
8class_NB,JCN,47,0.747709583
8class_NB,JCN,48,0.710013947
8class_NB,JCN,49,0.720076159
8class_NB,JCN,50,0.76942791
3class_NB,Baseline,1,0.851700376
3class_NB,Baseline,2,0.86350911
3class_NB,Baseline,3,0.859201756
3class_NB,Baseline,4,0.867648476
3class_NB,Baseline,5,0.857419356
3class_NB,Baseline,6,0.899691358
3class_NB,Baseline,7,0.855400175
3class_NB,Baseline,8,0.874415032
3class_NB,Baseline,9,0.825473101
3class_NB,Baseline,10,0.870688182
3class_NB,Baseline,11,0.867381994
3class_NB,Baseline,12,0.865346038
3class_NB,Baseline,13,0.837600714
3class_NB,Baseline,14,0.863883029
3class_NB,Baseline,15,0.85834992
3class_NB,Baseline,16,0.849891131
3class_NB,Baseline,17,0.874607063
3class_NB,Baseline,18,0.834607909
3class_NB,Baseline,19,0.858702712
3class_NB,Baseline,20,0.832730733
3class_NB,Baseline,21,0.873911071
3class_NB,Baseline,22,0.890192933
3class_NB,Baseline,23,0.863692932
3class_NB,Baseline,24,0.903311134
3class_NB,Baseline,25,0.854496399
3class_NB,Baseline,26,0.873732719
3class_NB,Baseline,27,0.864304877
3class_NB,Baseline,28,0.872454188
3class_NB,Baseline,29,0.840181042
3class_NB,Baseline,30,0.858322837
3class_NB,Baseline,31,0.865822006
3class_NB,Baseline,32,0.859101629
3class_NB,Baseline,33,0.886841741
3class_NB,Baseline,34,0.862079668
3class_NB,Baseline,35,0.87557188
3class_NB,Baseline,36,0.826274223
3class_NB,Baseline,37,0.849878738
3class_NB,Baseline,38,0.866590605
3class_NB,Baseline,39,0.855329996
3class_NB,Baseline,40,0.851171664
3class_NB,Baseline,41,0.857798601
3class_NB,Baseline,42,0.87580073
3class_NB,Baseline,43,0.883744682
3class_NB,Baseline,44,0.848093078
3class_NB,Baseline,45,0.880902573
3class_NB,Baseline,46,0.884764206
3class_NB,Baseline,47,0.874555442
3class_NB,Baseline,48,0.861313839
3class_NB,Baseline,49,0.84872288
3class_NB,Baseline,50,0.828974893
3class_NB,Path,1,0.871995128
3class_NB,Path,2,0.837403372
3class_NB,Path,3,0.862486637
3class_NB,Path,4,0.831680026
3class_NB,Path,5,0.818955172
3class_NB,Path,6,0.832816519
3class_NB,Path,7,0.857725934
3class_NB,Path,8,0.847204969
3class_NB,Path,9,0.822234798
3class_NB,Path,10,0.830824052
3class_NB,Path,11,0.845649335
3class_NB,Path,12,0.803126109
3class_NB,Path,13,0.833212366
3class_NB,Path,14,0.840994017
3class_NB,Path,15,0.838639186
3class_NB,Path,16,0.823206677
3class_NB,Path,17,0.826789227
3class_NB,Path,18,0.827990874
3class_NB,Path,19,0.825451545
3class_NB,Path,20,0.789797965
3class_NB,Path,21,0.861398547
3class_NB,Path,22,0.865155237
3class_NB,Path,23,0.845158891
3class_NB,Path,24,0.892456327
3class_NB,Path,25,0.824985561
3class_NB,Path,26,0.881701387
3class_NB,Path,27,0.854058269
3class_NB,Path,28,0.840586365
3class_NB,Path,29,0.82172359
3class_NB,Path,30,0.839034152
3class_NB,Path,31,0.850273743
3class_NB,Path,32,0.830356184
3class_NB,Path,33,0.851274956
3class_NB,Path,34,0.870183791
3class_NB,Path,35,0.874038978
3class_NB,Path,36,0.832526457
3class_NB,Path,37,0.849657917
3class_NB,Path,38,0.884353741
3class_NB,Path,39,0.827955909
3class_NB,Path,40,0.837774079
3class_NB,Path,41,0.855495724
3class_NB,Path,42,0.848422443
3class_NB,Path,43,0.849557947
3class_NB,Path,44,0.8667634
3class_NB,Path,45,0.872301864
3class_NB,Path,46,0.869682055
3class_NB,Path,47,0.865683182
3class_NB,Path,48,0.857256367
3class_NB,Path,49,0.814132739
3class_NB,Path,50,0.820800726
3class_NB,WUP,1,0.816737434
3class_NB,WUP,2,0.806734694
3class_NB,WUP,3,0.83124224
3class_NB,WUP,4,0.819918781
3class_NB,WUP,5,0.74985229
3class_NB,WUP,6,0.825595721
3class_NB,WUP,7,0.853864151
3class_NB,WUP,8,0.818446406
3class_NB,WUP,9,0.802559759
3class_NB,WUP,10,0.793896518
3class_NB,WUP,11,0.841405077
3class_NB,WUP,12,0.825148417
3class_NB,WUP,13,0.832878831
3class_NB,WUP,14,0.839558302
3class_NB,WUP,15,0.763359501
3class_NB,WUP,16,0.816328314
3class_NB,WUP,17,0.820747296
3class_NB,WUP,18,0.814837907
3class_NB,WUP,19,0.809781333
3class_NB,WUP,20,0.799893821
3class_NB,WUP,21,0.827322804
3class_NB,WUP,22,0.802729307
3class_NB,WUP,23,0.847034006
3class_NB,WUP,24,0.851770833
3class_NB,WUP,25,0.808328676
3class_NB,WUP,26,0.837284228
3class_NB,WUP,27,0.836020021
3class_NB,WUP,28,0.774273677
3class_NB,WUP,29,0.790547682
3class_NB,WUP,30,0.809516406
3class_NB,WUP,31,0.760425902
3class_NB,WUP,32,0.789217796
3class_NB,WUP,33,0.859944621
3class_NB,WUP,34,0.80186013
3class_NB,WUP,35,0.802782202
3class_NB,WUP,36,0.828199728
3class_NB,WUP,37,0.8072313
3class_NB,WUP,38,0.842064237
3class_NB,WUP,39,0.806482668
3class_NB,WUP,40,0.79656907
3class_NB,WUP,41,0.827778348
3class_NB,WUP,42,0.812615135
3class_NB,WUP,43,0.824313742
3class_NB,WUP,44,0.84105863
3class_NB,WUP,45,0.848625266
3class_NB,WUP,46,0.836587492
3class_NB,WUP,47,0.815797119
3class_NB,WUP,48,0.784677991
3class_NB,WUP,49,0.787414675
3class_NB,WUP,50,0.808286676
3class_NB,JCN,1,0.832799005
3class_NB,JCN,2,0.8210685
3class_NB,JCN,3,0.854063738
3class_NB,JCN,4,0.850249931
3class_NB,JCN,5,0.82409975
3class_NB,JCN,6,0.846511394
3class_NB,JCN,7,0.836696107
3class_NB,JCN,8,0.864467416
3class_NB,JCN,9,0.779769126
3class_NB,JCN,10,0.854062483
3class_NB,JCN,11,0.855927178
3class_NB,JCN,12,0.842663314
3class_NB,JCN,13,0.787867164
3class_NB,JCN,14,0.874707345
3class_NB,JCN,15,0.815397927
3class_NB,JCN,16,0.826817557
3class_NB,JCN,17,0.807787021
3class_NB,JCN,18,0.827026039
3class_NB,JCN,19,0.845786029
3class_NB,JCN,20,0.814337763
3class_NB,JCN,21,0.843635692
3class_NB,JCN,22,0.87967526
3class_NB,JCN,23,0.839634983
3class_NB,JCN,24,0.870630056
3class_NB,JCN,25,0.816465542
3class_NB,JCN,26,0.828071026
3class_NB,JCN,27,0.878540054
3class_NB,JCN,28,0.853924101
3class_NB,JCN,29,0.79375775
3class_NB,JCN,30,0.841649666
3class_NB,JCN,31,0.842153336
3class_NB,JCN,32,0.80075181
3class_NB,JCN,33,0.863110529
3class_NB,JCN,34,0.835884858
3class_NB,JCN,35,0.864869919
3class_NB,JCN,36,0.836602254
3class_NB,JCN,37,0.858171044
3class_NB,JCN,38,0.851411974
3class_NB,JCN,39,0.816494398
3class_NB,JCN,40,0.837643527
3class_NB,JCN,41,0.837895334
3class_NB,JCN,42,0.856899403
3class_NB,JCN,43,0.850680462
3class_NB,JCN,44,0.836393597
3class_NB,JCN,45,0.844751439
3class_NB,JCN,46,0.869252557
3class_NB,JCN,47,0.866874677
3class_NB,JCN,48,0.828101939
3class_NB,JCN,49,0.827778348
3class_NB,JCN,50,0.836385698
