comb,Options,features,f1
3-class NB,Neg Bi.,70,0.907449222
3-class NB,Neg Bi.,72,0.902366534
3-class NB,Neg Bi.,74,0.906165713
3-class NB,Neg Bi.,76,0.902919165
3-class NB,Neg Bi.,78,0.905073891
3-class NB,Neg Bi.,80,0.901942643
3-class NB,Neg Bi.,82,0.902024071
3-class NB,Neg Bi.,84,0.90012239
3-class NB,Neg Bi.,86,0.895486999
3-class NB,Neg Bi.,88,0.895486999
3-class NB,Neg Bi.,90,0.896549378
3-class NB,Neg Bi.,92,0.893443859
3-class NB,Neg Bi.,94,0.893443859
3-class NB,Neg Bi.,96,0.891294351
3-class NB,Neg Bi.,98,0.878031685
3-class NB,Neg Bi.,100,0.876946394
3-class NB,Comb.,52,0.945424813
3-class NB,Comb.,54,0.948031947
3-class NB,Comb.,56,0.941861072
3-class NB,Comb.,58,0.943098785
3-class NB,Comb.,60,0.937178046
3-class NB,Comb.,62,0.927266998
3-class NB,Comb.,64,0.925757443
3-class NB,Comb.,66,0.918001407
3-class NB,Comb.,68,0.915880105
3-class NB,Comb.,70,0.914947286
3-class NB,Comb.,72,0.913747014
3-class NB,Comb.,74,0.916272996
3-class NB,Comb.,76,0.919005048
3-class NB,Comb.,78,0.911074155
3-class NB,Comb.,80,0.911317946
3-class NB,Comb.,82,0.91011473
3-class NB,Comb.,84,0.90745713
3-class NB,Comb.,86,0.90745713
3-class NB,Comb.,88,0.901444457
3-class NB,Comb.,90,0.887802975
3-class NB,Comb.,92,0.887802975
3-class NB,Comb.,94,0.887229168
3-class NB,Comb.,96,0.894066664
3-class NB,Comb.,98,0.891447326
3-class NB,Comb.,100,0.882778485
