comb,Options,features,f1
3-class Ridge,Baseline,36,0.831749749
3-class Ridge,Baseline,38,0.861057666
3-class Ridge,Baseline,40,0.872106479
3-class Ridge,Baseline,42,0.862270269
3-class Ridge,Baseline,44,0.850551004
3-class Ridge,Baseline,46,0.857500476
3-class Ridge,Baseline,48,0.850440888
3-class Ridge,Baseline,50,0.850979402
3-class Ridge,Baseline,52,0.852113687
3-class Ridge,Baseline,54,0.850869849
3-class Ridge,Baseline,56,0.848942581
3-class Ridge,Baseline,58,0.850526648
3-class Ridge,Baseline,60,0.851003457
3-class Ridge,Baseline,62,0.850865345
3-class Ridge,Baseline,64,0.847644192
3-class Ridge,Baseline,66,0.84360959
3-class Ridge,Baseline,68,0.840513127
3-class Ridge,Baseline,70,0.832824887
3-class Ridge,Baseline,72,0.829420475
3-class Ridge,Baseline,74,0.828595529
3-class Ridge,Baseline,76,0.829522493
3-class Ridge,Baseline,78,0.827769169
3-class Ridge,Baseline,80,0.82679558
3-class Ridge,Baseline,82,0.825645318
3-class Ridge,Baseline,84,0.825645318
3-class Ridge,Baseline,86,0.823712556
3-class Ridge,Baseline,88,0.821093455
3-class Ridge,Baseline,90,0.823712556
3-class Ridge,Baseline,92,0.819504569
3-class Ridge,Baseline,94,0.820575751
3-class Ridge,Baseline,96,0.820575751
3-class Ridge,Baseline,98,0.814665486
3-class Ridge,Baseline,100,0.81558124
3-class Ridge,POS rep.,2,0.687483178
3-class Ridge,POS rep.,4,0.732780213
3-class Ridge,POS rep.,6,0.791483452
3-class Ridge,POS rep.,8,0.792586277
3-class Ridge,POS rep.,10,0.77080029
3-class Ridge,POS rep.,12,0.82333716
3-class Ridge,POS rep.,14,0.831452291
3-class Ridge,POS rep.,16,0.823206391
3-class Ridge,POS rep.,18,0.864889339
3-class Ridge,POS rep.,20,0.860758102
3-class Ridge,POS rep.,22,0.858141144
3-class Ridge,POS rep.,24,0.856024321
3-class Ridge,POS rep.,26,0.845909695
3-class Ridge,POS rep.,28,0.851695704
3-class Ridge,POS rep.,30,0.867053484
3-class Ridge,POS rep.,32,0.860827503
3-class Ridge,POS rep.,34,0.862513652
3-class Ridge,POS rep.,36,0.879890031
3-class Ridge,POS rep.,38,0.882729419
3-class Ridge,POS rep.,40,0.876272888
3-class Ridge,POS rep.,42,0.86157034
3-class Ridge,POS rep.,44,0.861677504
