classifier,featuresnum,features,metrics,value
SVM,99,36,f0.5,0.50810027
SVM,105,38,f0.5,0.594316562
SVM,110,40,f0.5,0.590351171
SVM,116,42,f0.5,0.581674755
SVM,121,44,f0.5,0.587797916
SVM,127,46,f0.5,0.573788665
SVM,132,48,f0.5,0.572189942
SVM,138,50,f0.5,0.553847501
SVM,144,52,f0.5,0.573244038
SVM,149,54,f0.5,0.573570086
SVM,155,56,f0.5,0.553848414
SVM,160,58,f0.5,0.55447696
SVM,166,60,f0.5,0.559698625
SVM,171,62,f0.5,0.548014082
SVM,178,64,f0.5,0.538688469
SVM,184,66,f0.5,0.541563428
SVM,188,68,f0.5,0.538081894
SVM,193,70,f0.5,0.537060732
SVM,202,72,f0.5,0.527303996
SVM,205,74,f0.5,0.535860167
SVM,210,76,f0.5,0.534375126
SVM,217,78,f0.5,0.53758257
SVM,221,80,f0.5,0.53713424
SVM,229,82,f0.5,0.547400289
SVM,233,84,f0.5,0.555971583
SVM,238,86,f0.5,0.539252572
SVM,247,88,f0.5,0.570834861
SVM,249,90,f0.5,0.561645014
SVM,258,92,f0.5,0.563430478
SVM,260,94,f0.5,0.569775053
SVM,266,96,f0.5,0.561467333
SVM,271,98,f0.5,0.554955906
SVM,277,100,f0.5,0.556331849
Tree,5,2,f0.5,0.381412853
Tree,11,4,f0.5,0.424989467
Tree,17,6,f0.5,0.408818504
Tree,24,8,f0.5,0.396825772
Tree,27,10,f0.5,0.39623921
Tree,33,12,f0.5,0.452731476
Tree,40,14,f0.5,0.469172874
Tree,44,16,f0.5,0.511077136
Tree,49,18,f0.5,0.511077136
Tree,55,20,f0.5,0.516108961
Tree,61,22,f0.5,0.623243395
Tree,69,24,f0.5,0.607792222
Tree,72,26,f0.5,0.603143598
Tree,79,28,f0.5,0.592065597
Tree,85,30,f0.5,0.593142029
Tree,88,32,f0.5,0.592523342
Tree,94,34,f0.5,0.592523342
Tree,99,36,f0.5,0.593034872
Tree,105,38,f0.5,0.594175229
Tree,110,40,f0.5,0.594175229
Tree,116,42,f0.5,0.574803893
Tree,121,44,f0.5,0.570908831
Tree,127,46,f0.5,0.573712443
Tree,132,48,f0.5,0.573712443
Tree,138,50,f0.5,0.582018035
Tree,144,52,f0.5,0.506598306
Tree,149,54,f0.5,0.505075774
Tree,155,56,f0.5,0.508544892
Tree,160,58,f0.5,0.506974989
Tree,166,60,f0.5,0.510083743
Tree,171,62,f0.5,0.507546577
Tree,178,64,f0.5,0.501808241
Tree,184,66,f0.5,0.501808241
Tree,188,68,f0.5,0.540801233
Tree,193,70,f0.5,0.540283254
Tree,202,72,f0.5,0.540283254
Tree,205,74,f0.5,0.537634599
Tree,210,76,f0.5,0.537634599
Tree,217,78,f0.5,0.537634599
Tree,221,80,f0.5,0.527457781
Tree,229,82,f0.5,0.526027215
Tree,233,84,f0.5,0.527457781
Tree,238,86,f0.5,0.524780017
Tree,247,88,f0.5,0.524780017
Tree,249,90,f0.5,0.52021314
Tree,258,92,f0.5,0.515421596
Tree,260,94,f0.5,0.497789906
Tree,266,96,f0.5,0.519414
Tree,271,98,f0.5,0.519414
Tree,277,100,f0.5,0.474654904
NB,5,2,f1,0.252113015
NB,11,4,f1,0.48979353
NB,17,6,f1,0.547433206
NB,24,8,f1,0.537340832
NB,27,10,f1,0.56982415
NB,33,12,f1,0.624993749
NB,40,14,f1,0.630077419
NB,44,16,f1,0.714402777
NB,49,18,f1,0.724216867
NB,55,20,f1,0.747402534
NB,61,22,f1,0.747777574
NB,69,24,f1,0.748020544
NB,72,26,f1,0.718362853
NB,79,28,f1,0.728457878
NB,85,30,f1,0.738797223
NB,88,32,f1,0.720481604
NB,94,34,f1,0.721218968
NB,99,36,f1,0.735282736
NB,105,38,f1,0.743584869
NB,110,40,f1,0.745521815
NB,116,42,f1,0.740736943
NB,121,44,f1,0.751861691
NB,127,46,f1,0.747111424
NB,132,48,f1,0.747035503
NB,138,50,f1,0.732406656
NB,144,52,f1,0.778486582
NB,149,54,f1,0.778190753
NB,155,56,f1,0.774215161
NB,160,58,f1,0.767252958
NB,166,60,f1,0.782342204
NB,171,62,f1,0.781510157
NB,178,64,f1,0.783029519
NB,184,66,f1,0.779459836
NB,188,68,f1,0.782057494
NB,193,70,f1,0.778227783
NB,202,72,f1,0.778961148
NB,205,74,f1,0.777135204
NB,210,76,f1,0.771601512
NB,217,78,f1,0.759078336
NB,221,80,f1,0.746576032
NB,229,82,f1,0.739874092
NB,233,84,f1,0.733974089
NB,238,86,f1,0.73397545
NB,247,88,f1,0.735472722
NB,249,90,f1,0.717773283
NB,258,92,f1,0.717305269
NB,260,94,f1,0.711676987
NB,266,96,f1,0.694187569
NB,271,98,f1,0.682107862
NB,277,100,f1,0.681945203
kNN,5,2,f1,0.334744141
kNN,11,4,f1,0.356155858
kNN,17,6,f1,0.404146348
kNN,24,8,f1,0.436696544
kNN,27,10,f1,0.429051326
kNN,33,12,f1,0.46803264
kNN,40,14,f1,0.485517097
kNN,44,16,f1,0.446195613
kNN,49,18,f1,0.429659421
kNN,55,20,f1,0.429629322
kNN,61,22,f1,0.432715256
kNN,69,24,f1,0.431602104
kNN,72,26,f1,0.371582441
kNN,79,28,f1,0.390339709
kNN,85,30,f1,0.403819316
kNN,88,32,f1,0.351712177
kNN,94,34,f1,0.318584411
kNN,99,36,f1,0.313941449
kNN,105,38,f1,0.347049454
kNN,110,40,f1,0.318386714
kNN,116,42,f1,0.376749367
kNN,121,44,f1,0.380826813
kNN,127,46,f1,0.380136393
kNN,132,48,f1,0.378147389
kNN,138,50,f1,0.361530082
kNN,144,52,f1,0.390449621
kNN,149,54,f1,0.400895736
kNN,155,56,f1,0.443982673
kNN,160,58,f1,0.442223132
kNN,166,60,f1,0.472551978
kNN,171,62,f1,0.474260994
kNN,178,64,f1,0.440446895
kNN,184,66,f1,0.429814606
kNN,188,68,f1,0.407497936
kNN,193,70,f1,0.429479822
kNN,202,72,f1,0.419843082
kNN,205,74,f1,0.433218649
kNN,210,76,f1,0.360095891
kNN,217,78,f1,0.375689582
kNN,221,80,f1,0.399372522
kNN,229,82,f1,0.39932016
kNN,233,84,f1,0.424785807
kNN,238,86,f1,0.444206
kNN,247,88,f1,0.467277829
