comb,Options,run,f1
3class_NB,Baseline,21,0.873911071
3class_NB,Baseline,22,0.890192933
3class_NB,Baseline,23,0.863692932
3class_NB,Baseline,24,0.903311134
3class_NB,Baseline,25,0.854496399
3class_NB,Baseline,26,0.873732719
3class_NB,Baseline,27,0.864304877
3class_NB,Baseline,28,0.872454188
3class_NB,Baseline,29,0.840181042
3class_NB,Baseline,30,0.858322837
3class_NB,Baseline,31,0.865822006
3class_NB,Baseline,32,0.859101629
3class_NB,Baseline,33,0.886841741
3class_NB,Baseline,34,0.862079668
3class_NB,Baseline,35,0.87557188
3class_NB,Baseline,36,0.826274223
3class_NB,Baseline,37,0.849878738
3class_NB,Baseline,38,0.866590605
3class_NB,Baseline,39,0.855329996
3class_NB,Baseline,40,0.851171664
3class_NB,Baseline,41,0.857798601
3class_NB,Baseline,42,0.87580073
3class_NB,Baseline,43,0.883744682
3class_NB,Baseline,44,0.848093078
3class_NB,Baseline,45,0.880902573
3class_NB,Baseline,46,0.884764206
3class_NB,Baseline,47,0.874555442
3class_NB,Baseline,48,0.861313839
3class_NB,Baseline,49,0.84872288
3class_NB,Baseline,50,0.828974893
3class_NB,POStags,1,0.610431272
3class_NB,POStags,2,0.625256998
3class_NB,POStags,3,0.61620317
3class_NB,POStags,4,0.642222189
3class_NB,POStags,5,0.589416664
3class_NB,POStags,6,0.626413032
3class_NB,POStags,7,0.560094125
3class_NB,POStags,8,0.604510409
3class_NB,POStags,9,0.570813539
3class_NB,POStags,10,0.634207822
3class_NB,POStags,11,0.620547763
3class_NB,POStags,12,0.577949557
3class_NB,POStags,13,0.623442112
3class_NB,POStags,14,0.637500489
3class_NB,POStags,15,0.694264865
3class_NB,POStags,16,0.643601978
3class_NB,POStags,17,0.62157567
3class_NB,POStags,18,0.669311225
3class_NB,POStags,19,0.589344637
3class_NB,POStags,20,0.547506117
3class_NB,POStags,21,0.658914929
3class_NB,POStags,22,0.610084691
3class_NB,POStags,23,0.59940334
3class_NB,POStags,24,0.710502997
3class_NB,POStags,25,0.57162195
3class_NB,POStags,26,0.587068337
3class_NB,POStags,27,0.646600904
3class_NB,POStags,28,0.60635341
3class_NB,POStags,29,0.682310141
3class_NB,POStags,30,0.688113531
3class_NB,POStags,31,0.60612055
3class_NB,POStags,32,0.628798166
3class_NB,POStags,33,0.634428805
3class_NB,POStags,34,0.607451896
3class_NB,POStags,35,0.649303866
3class_NB,POStags,36,0.585762325
3class_NB,POStags,37,0.592168782
3class_NB,POStags,38,0.51231999
3class_NB,POStags,39,0.62111265
3class_NB,POStags,40,0.586846533
3class_NB,POStags,41,0.64188952
3class_NB,POStags,42,0.622996466
3class_NB,POStags,43,0.640729354
3class_NB,POStags,44,0.62532032
3class_NB,POStags,45,0.604263948
3class_NB,POStags,46,0.674478359
3class_NB,POStags,47,0.631006696
3class_NB,POStags,48,0.571631862
3class_NB,POStags,49,0.592174685
3class_NB,POStags,50,0.641952143
3class_NB,POSwords,1,0.906620562
3class_NB,POSwords,2,0.885164589
3class_NB,POSwords,3,0.917022834
3class_NB,POSwords,4,0.920813338
3class_NB,POSwords,5,0.871870311
3class_NB,POSwords,6,0.917410907
3class_NB,POSwords,7,0.89247334
3class_NB,POSwords,8,0.891776911
3class_NB,POSwords,9,0.82924028
3class_NB,POSwords,10,0.889392802
3class_NB,POSwords,11,0.894471884
3class_NB,POSwords,12,0.873487721
3class_NB,POSwords,13,0.902475412
3class_NB,POSwords,14,0.925769188
3class_NB,POSwords,15,0.859580355
3class_NB,POSwords,16,0.848206772
3class_NB,POSwords,17,0.87250384
3class_NB,POSwords,18,0.89389901
3class_NB,POSwords,19,0.85631628
3class_NB,POSwords,20,0.861698865
3class_NB,POSwords,21,0.875855192
3class_NB,POSwords,22,0.925748256
3class_NB,POSwords,23,0.860395532
3class_NB,POSwords,24,0.930393586
3class_NB,POSwords,25,0.904358748
3class_NB,POSwords,26,0.880068844
3class_NB,POSwords,27,0.912068885
3class_NB,POSwords,28,0.880118766
3class_NB,POSwords,29,0.823167232
3class_NB,POSwords,30,0.900406045
3class_NB,POSwords,31,0.888462111
3class_NB,POSwords,32,0.857489965
3class_NB,POSwords,33,0.903297209
3class_NB,POSwords,34,0.887893523
3class_NB,POSwords,35,0.864559653
3class_NB,POSwords,36,0.871603976
3class_NB,POSwords,37,0.898677869
3class_NB,POSwords,38,0.881468744
3class_NB,POSwords,39,0.872252794
3class_NB,POSwords,40,0.88972659
3class_NB,POSwords,41,0.889391481
3class_NB,POSwords,42,0.9012939
3class_NB,POSwords,43,0.943900779
3class_NB,POSwords,44,0.865361561
3class_NB,POSwords,45,0.918924709
3class_NB,POSwords,46,0.906521861
3class_NB,POSwords,47,0.866436226
3class_NB,POSwords,48,0.888494983
3class_NB,POSwords,49,0.85489284
3class_NB,POSwords,50,0.876059466
