classifier,featuresnum,features,metrics,value
NB,5,2,f0.5,0.572903999
NB,11,4,f0.5,0.667761059
NB,17,6,f0.5,0.618716787
NB,24,8,f0.5,0.603174642
NB,27,10,f0.5,0.60872681
NB,33,12,f0.5,0.737934332
NB,40,14,f0.5,0.735520631
NB,44,16,f0.5,0.815949117
NB,49,18,f0.5,0.847492115
NB,55,20,f0.5,0.876617181
NB,61,22,f0.5,0.90678726
NB,69,24,f0.5,0.899566729
NB,72,26,f0.5,0.901718089
NB,79,28,f0.5,0.888304202
NB,85,30,f0.5,0.918058461
NB,88,32,f0.5,0.916576661
NB,94,34,f0.5,0.93870571
NB,99,36,f0.5,0.963380992
NB,105,38,f0.5,0.966217348
NB,110,40,f0.5,0.971741449
NB,116,42,f0.5,0.967883985
NB,121,44,f0.5,0.958817477
NB,127,46,f0.5,0.959558398
NB,132,48,f0.5,0.963901016
NB,138,50,f0.5,0.955679427
NB,144,52,f0.5,0.957430635
NB,149,54,f0.5,0.959778523
NB,155,56,f0.5,0.947645852
NB,160,58,f0.5,0.939283537
NB,166,60,f0.5,0.938085643
NB,171,62,f0.5,0.931744518
NB,178,64,f0.5,0.92735991
NB,184,66,f0.5,0.924567815
NB,188,68,f0.5,0.920563805
NB,193,70,f0.5,0.911894994
NB,202,72,f0.5,0.910673299
NB,205,74,f0.5,0.913811735
NB,210,76,f0.5,0.907876525
NB,217,78,f0.5,0.909410323
NB,221,80,f0.5,0.895496311
NB,229,82,f0.5,0.896796036
NB,233,84,f0.5,0.896298041
NB,238,86,f0.5,0.894055928
NB,247,88,f0.5,0.894832447
NB,249,90,f0.5,0.897197327
NB,258,92,f0.5,0.895056725
NB,260,94,f0.5,0.886177726
NB,266,96,f0.5,0.886177726
NB,271,98,f0.5,0.880511975
NB,277,100,f0.5,0.880246788
kNN,5,2,f0.5,0.640755806
kNN,11,4,f0.5,0.65653875
kNN,17,6,f0.5,0.590557503
kNN,24,8,f0.5,0.599401308
kNN,27,10,f0.5,0.531028839
kNN,33,12,f0.5,0.598021121
kNN,40,14,f0.5,0.529092337
kNN,44,16,f0.5,0.519190523
kNN,49,18,f0.5,0.592086251
kNN,55,20,f0.5,0.494167745
kNN,61,22,f0.5,0.490918429
kNN,69,24,f0.5,0.497716789
kNN,72,26,f0.5,0.500373877
kNN,79,28,f0.5,0.500373877
kNN,85,30,f0.5,0.500373877
kNN,88,32,f0.5,0.503631493
kNN,94,34,f0.5,0.503631493
kNN,99,36,f0.5,0.517492972
kNN,105,38,f0.5,0.520811161
kNN,110,40,f0.5,0.520811161
kNN,116,42,f0.5,0.520811161
kNN,121,44,f0.5,0.517492972
kNN,127,46,f0.5,0.517492972
kNN,132,48,f0.5,0.517492972
kNN,138,50,f0.5,0.522755347
kNN,144,52,f0.5,0.522226863
kNN,149,54,f0.5,0.522226863
kNN,155,56,f0.5,0.522226863
kNN,160,58,f0.5,0.523075348
kNN,166,60,f0.5,0.538596878
kNN,171,62,f0.5,0.538596878
kNN,178,64,f0.5,0.538596878
kNN,184,66,f0.5,0.538596878
kNN,188,68,f0.5,0.537261875
kNN,193,70,f0.5,0.538596878
kNN,202,72,f0.5,0.538605947
kNN,205,74,f0.5,0.537177627
kNN,210,76,f0.5,0.580306642
kNN,217,78,f0.5,0.58365165
kNN,221,80,f0.5,0.58365165
kNN,229,82,f0.5,0.574838689
kNN,233,84,f0.5,0.575487529
kNN,238,86,f0.5,0.588790677
kNN,247,88,f0.5,0.641353892
kNN,249,90,f0.5,0.62827778
kNN,258,92,f0.5,0.720398431
kNN,260,94,f0.5,0.732954337
kNN,266,96,f0.5,0.788003919
kNN,271,98,f0.5,0.769457215
kNN,277,100,f0.5,0.732786013
Ridge,5,2,f0.5,0.720735971
Ridge,11,4,f0.5,0.719899812
Ridge,17,6,f0.5,0.724196713
Ridge,24,8,f0.5,0.754919153
Ridge,27,10,f0.5,0.755756348
Ridge,33,12,f0.5,0.801096937
Ridge,40,14,f0.5,0.80401475
Ridge,44,16,f0.5,0.819703267
Ridge,49,18,f0.5,0.80945309
Ridge,55,20,f0.5,0.828227634
Ridge,61,22,f0.5,0.829371717
Ridge,69,24,f0.5,0.837821462
Ridge,72,26,f0.5,0.844377454
Ridge,79,28,f0.5,0.841736697
Ridge,85,30,f0.5,0.851612181
Ridge,88,32,f0.5,0.853461211
Ridge,94,34,f0.5,0.83834268
Ridge,99,36,f0.5,0.859240621
Ridge,105,38,f0.5,0.893202625
Ridge,110,40,f0.5,0.901459323
Ridge,116,42,f0.5,0.893565448
Ridge,121,44,f0.5,0.883563727
Ridge,127,46,f0.5,0.88726533
Ridge,132,48,f0.5,0.882246984
Ridge,138,50,f0.5,0.88213889
Ridge,144,52,f0.5,0.883331772
Ridge,149,54,f0.5,0.882226037
Ridge,155,56,f0.5,0.881396164
Ridge,160,58,f0.5,0.88362607
Ridge,166,60,f0.5,0.883944853
Ridge,171,62,f0.5,0.884752227
Ridge,178,64,f0.5,0.882522158
Ridge,184,66,f0.5,0.878691707
Ridge,188,68,f0.5,0.875997276
Ridge,193,70,f0.5,0.870523015
Ridge,202,72,f0.5,0.868074005
Ridge,205,74,f0.5,0.867712346
Ridge,210,76,f0.5,0.868252819
Ridge,217,78,f0.5,0.867349646
Ridge,221,80,f0.5,0.866093558
Ridge,229,82,f0.5,0.864980884
Ridge,233,84,f0.5,0.864980884
Ridge,238,86,f0.5,0.864131204
Ridge,247,88,f0.5,0.862353674
Ridge,249,90,f0.5,0.864131204
Ridge,258,92,f0.5,0.860651796
Ridge,260,94,f0.5,0.861991228
Ridge,266,96,f0.5,0.861991228
Ridge,271,98,f0.5,0.85780204
Ridge,277,100,f0.5,0.858961508
SVM,5,2,f0.5,0.687556357
SVM,11,4,f0.5,0.69778084
SVM,17,6,f0.5,0.667776515
SVM,24,8,f0.5,0.691995809
SVM,27,10,f0.5,0.663825726
SVM,33,12,f0.5,0.738121043
SVM,40,14,f0.5,0.733606581
SVM,44,16,f0.5,0.700163517
SVM,49,18,f0.5,0.760227367
SVM,55,20,f0.5,0.688400224
SVM,61,22,f0.5,0.708136967
SVM,69,24,f0.5,0.694767532
SVM,72,26,f0.5,0.719061249
SVM,79,28,f0.5,0.713651609
SVM,85,30,f0.5,0.708001552
SVM,88,32,f0.5,0.699495719
SVM,94,34,f0.5,0.69570095
SVM,99,36,f0.5,0.71906463
SVM,105,38,f0.5,0.718530854
