classifier,stopword_options,run,f1,f5
NaiveBayes,SelfDefined,17,0.584168206,0.576384463
NaiveBayes,SelfDefined,18,0.654559132,0.659536388
NaiveBayes,SelfDefined,19,0.688848551,0.704477949
NaiveBayes,SelfDefined,20,0.668171988,0.676484983
NaiveBayes,SelfDefined,21,0.604411385,0.607823096
NaiveBayes,SelfDefined,22,0.654341015,0.651968781
NaiveBayes,SelfDefined,23,0.694151909,0.697104747
NaiveBayes,SelfDefined,24,0.659977784,0.668383417
NaiveBayes,SelfDefined,25,0.704918362,0.725831103
NaiveBayes,SelfDefined,26,0.650626657,0.689100277
NaiveBayes,SelfDefined,27,0.648308252,0.630182098
NaiveBayes,SelfDefined,28,0.712558136,0.738882358
NaiveBayes,SelfDefined,29,0.69635592,0.723078845
NaiveBayes,SelfDefined,30,0.727362401,0.748102584
NaiveBayes,SelfDefined,31,0.668954014,0.693173067
NaiveBayes,SelfDefined,32,0.720773323,0.767180422
NaiveBayes,SelfDefined,33,0.712138462,0.722678913
NaiveBayes,SelfDefined,34,0.721184254,0.724653019
NaiveBayes,SelfDefined,35,0.706302374,0.74315699
NaiveBayes,SelfDefined,36,0.707001395,0.741631554
NaiveBayes,SelfDefined,37,0.665144384,0.69445625
NaiveBayes,SelfDefined,38,0.651315568,0.683768326
NaiveBayes,SelfDefined,39,0.7059236,0.747184554
NaiveBayes,SelfDefined,40,0.713006554,0.744037298
NaiveBayes,SelfDefined,41,0.690239939,0.710912886
NaiveBayes,SelfDefined,42,0.708099035,0.725451419
NaiveBayes,SelfDefined,43,0.667913741,0.665122025
NaiveBayes,SelfDefined,44,0.628771356,0.655109074
NaiveBayes,SelfDefined,45,0.664294814,0.702151455
NaiveBayes,SelfDefined,46,0.628180563,0.627235564
NaiveBayes,SelfDefined,47,0.713093756,0.745980049
NaiveBayes,SelfDefined,48,0.681931309,0.700982399
NaiveBayes,SelfDefined,49,0.665917699,0.672043565
NaiveBayes,SelfDefined,50,0.733695652,0.774082569
NaiveBayes,NoRemoval,1,0.719740634,0.74954982
NaiveBayes,NoRemoval,2,0.702705689,0.730564094
NaiveBayes,NoRemoval,3,0.588947425,0.595353605
NaiveBayes,NoRemoval,4,0.722976239,0.729037382
NaiveBayes,NoRemoval,5,0.670001689,0.689060818
NaiveBayes,NoRemoval,6,0.709987039,0.745062178
NaiveBayes,NoRemoval,7,0.739828109,0.775686281
NaiveBayes,NoRemoval,8,0.647017605,0.653994617
NaiveBayes,NoRemoval,9,0.653610413,0.66720538
NaiveBayes,NoRemoval,10,0.660837881,0.679340365
NaiveBayes,NoRemoval,11,0.726549024,0.763267895
NaiveBayes,NoRemoval,12,0.662601209,0.676625479
NaiveBayes,NoRemoval,13,0.71437474,0.737729535
NaiveBayes,NoRemoval,14,0.697529926,0.721656776
NaiveBayes,NoRemoval,15,0.66513091,0.697134598
NaiveBayes,NoRemoval,16,0.693037795,0.730792281
NaiveBayes,NoRemoval,17,0.568626425,0.560152933
NaiveBayes,NoRemoval,18,0.673459621,0.681345612
NaiveBayes,NoRemoval,19,0.677016406,0.700159696
NaiveBayes,NoRemoval,20,0.68246357,0.690774545
NaiveBayes,NoRemoval,21,0.60134385,0.608058608
NaiveBayes,NoRemoval,22,0.703743509,0.714248946
NaiveBayes,NoRemoval,23,0.71998493,0.730205841
NaiveBayes,NoRemoval,24,0.670773467,0.686280922
NaiveBayes,NoRemoval,25,0.704918362,0.725831103
NaiveBayes,NoRemoval,26,0.651799181,0.691207385
NaiveBayes,NoRemoval,27,0.648308252,0.630182098
NaiveBayes,NoRemoval,28,0.712558136,0.738882358
NaiveBayes,NoRemoval,29,0.744373757,0.779132679
NaiveBayes,NoRemoval,30,0.751918942,0.779878293
NaiveBayes,NoRemoval,31,0.675222496,0.704008817
NaiveBayes,NoRemoval,32,0.735201446,0.781569264
NaiveBayes,NoRemoval,33,0.726378754,0.740786988
NaiveBayes,NoRemoval,34,0.721184254,0.724653019
NaiveBayes,NoRemoval,35,0.709292803,0.748469403
NaiveBayes,NoRemoval,36,0.707001395,0.741631554
NaiveBayes,NoRemoval,37,0.688630491,0.714094319
NaiveBayes,NoRemoval,38,0.638142659,0.671549035
NaiveBayes,NoRemoval,39,0.702974195,0.74864577
NaiveBayes,NoRemoval,40,0.72942071,0.761961304
NaiveBayes,NoRemoval,41,0.708768995,0.736683475
NaiveBayes,NoRemoval,42,0.746481113,0.770563126
NaiveBayes,NoRemoval,43,0.68917249,0.682157427
NaiveBayes,NoRemoval,44,0.646221376,0.674832647
NaiveBayes,NoRemoval,45,0.664787446,0.703032515
NaiveBayes,NoRemoval,46,0.640153049,0.646553979
NaiveBayes,NoRemoval,47,0.733546381,0.771025492
NaiveBayes,NoRemoval,48,0.681931309,0.700982399
NaiveBayes,NoRemoval,49,0.671639462,0.681417103
NaiveBayes,NoRemoval,50,0.742053999,0.777779768
