comb,Options,run,f1
8class_NB,Option3,25,0.694583808
8class_NB,Option3,26,0.686832555
8class_NB,Option3,27,0.622794642
8class_NB,Option3,28,0.69048644
8class_NB,Option3,29,0.721386229
8class_NB,Option3,30,0.738324059
8class_NB,Option3,31,0.701485328
8class_NB,Option3,32,0.706291404
8class_NB,Option3,33,0.701719745
8class_NB,Option3,34,0.685185185
8class_NB,Option3,35,0.657127852
8class_NB,Option3,36,0.698693226
8class_NB,Option3,37,0.650857404
8class_NB,Option3,38,0.652524435
8class_NB,Option3,39,0.686320476
8class_NB,Option3,40,0.756145688
8class_NB,Option3,41,0.668807962
8class_NB,Option3,42,0.707871618
8class_NB,Option3,43,0.669028554
8class_NB,Option3,44,0.643791968
8class_NB,Option3,45,0.689272913
8class_NB,Option3,46,0.64077906
8class_NB,Option3,47,0.670954203
8class_NB,Option3,48,0.663911565
8class_NB,Option3,49,0.667141163
8class_NB,Option3,50,0.729106126
8class_NB,Option4,1,0.686985708
8class_NB,Option4,2,0.732311454
8class_NB,Option4,3,0.629673354
8class_NB,Option4,4,0.720500187
8class_NB,Option4,5,0.725514757
8class_NB,Option4,6,0.732562581
8class_NB,Option4,7,0.739369873
8class_NB,Option4,8,0.657303839
8class_NB,Option4,9,0.696606914
8class_NB,Option4,10,0.68286274
8class_NB,Option4,11,0.724886589
8class_NB,Option4,12,0.690281534
8class_NB,Option4,13,0.771664926
8class_NB,Option4,14,0.714701572
8class_NB,Option4,15,0.69023052
8class_NB,Option4,16,0.702702703
8class_NB,Option4,17,0.645496059
8class_NB,Option4,18,0.698645582
8class_NB,Option4,19,0.756671992
8class_NB,Option4,20,0.709262883
8class_NB,Option4,21,0.646826127
8class_NB,Option4,22,0.752260493
8class_NB,Option4,23,0.758280983
8class_NB,Option4,24,0.698693226
8class_NB,Option4,25,0.719340832
8class_NB,Option4,26,0.686359148
8class_NB,Option4,27,0.707787962
8class_NB,Option4,28,0.733619752
8class_NB,Option4,29,0.735235151
8class_NB,Option4,30,0.762719977
8class_NB,Option4,31,0.692266841
8class_NB,Option4,32,0.7654811
8class_NB,Option4,33,0.732894462
8class_NB,Option4,34,0.756724708
8class_NB,Option4,35,0.736808327
8class_NB,Option4,36,0.751216285
8class_NB,Option4,37,0.699781897
8class_NB,Option4,38,0.740345975
8class_NB,Option4,39,0.71090382
8class_NB,Option4,40,0.738395363
8class_NB,Option4,41,0.743796217
8class_NB,Option4,42,0.759731294
8class_NB,Option4,43,0.735683464
8class_NB,Option4,44,0.652999663
8class_NB,Option4,45,0.702925641
8class_NB,Option4,46,0.690248325
8class_NB,Option4,47,0.736631216
8class_NB,Option4,48,0.702844251
8class_NB,Option4,49,0.674074074
8class_NB,Option4,50,0.740779533
8class_NB,Option5,1,0.663185039
8class_NB,Option5,2,0.732311454
8class_NB,Option5,3,0.674602591
8class_NB,Option5,4,0.740995022
8class_NB,Option5,5,0.718635209
8class_NB,Option5,6,0.74691021
8class_NB,Option5,7,0.759462617
8class_NB,Option5,8,0.673411763
8class_NB,Option5,9,0.697228828
8class_NB,Option5,10,0.700487908
8class_NB,Option5,11,0.735166362
8class_NB,Option5,12,0.699107143
8class_NB,Option5,13,0.774880998
8class_NB,Option5,14,0.725118414
8class_NB,Option5,15,0.6886289
8class_NB,Option5,16,0.740932642
8class_NB,Option5,17,0.641367805
8class_NB,Option5,18,0.741476337
8class_NB,Option5,19,0.710803359
8class_NB,Option5,20,0.707373143
8class_NB,Option5,21,0.661006148
8class_NB,Option5,22,0.757807656
8class_NB,Option5,23,0.728548674
8class_NB,Option5,24,0.707839065
8class_NB,Option5,25,0.75749711
8class_NB,Option5,26,0.687010377
8class_NB,Option5,27,0.681364156
8class_NB,Option5,28,0.73804524
8class_NB,Option5,29,0.765361121
8class_NB,Option5,30,0.750864818
8class_NB,Option5,31,0.670008009
8class_NB,Option5,32,0.762891266
8class_NB,Option5,33,0.742770327
8class_NB,Option5,34,0.740557106
8class_NB,Option5,35,0.715289677
8class_NB,Option5,36,0.751496196
8class_NB,Option5,37,0.710270463
8class_NB,Option5,38,0.669504804
8class_NB,Option5,39,0.732734382
8class_NB,Option5,40,0.734261306
8class_NB,Option5,41,0.740545909
8class_NB,Option5,42,0.775663806
8class_NB,Option5,43,0.740468535
8class_NB,Option5,44,0.680860431
8class_NB,Option5,45,0.690371874
8class_NB,Option5,46,0.66367713
8class_NB,Option5,47,0.718091698
8class_NB,Option5,48,0.711646395
8class_NB,Option5,49,0.691424484
8class_NB,Option5,50,0.756421865
3class_NB,Baseline,1,0.851700376
3class_NB,Baseline,2,0.86350911
3class_NB,Baseline,3,0.859201756
3class_NB,Baseline,4,0.867648476
3class_NB,Baseline,5,0.857419356
3class_NB,Baseline,6,0.899691358
3class_NB,Baseline,7,0.855400175
3class_NB,Baseline,8,0.874415032
3class_NB,Baseline,9,0.825473101
3class_NB,Baseline,10,0.870688182
3class_NB,Baseline,11,0.867381994
3class_NB,Baseline,12,0.865346038
3class_NB,Baseline,13,0.837600714
3class_NB,Baseline,14,0.863883029
3class_NB,Baseline,15,0.85834992
3class_NB,Baseline,16,0.849891131
3class_NB,Baseline,17,0.874607063
3class_NB,Baseline,18,0.834607909
3class_NB,Baseline,19,0.858702712
3class_NB,Baseline,20,0.832730733
3class_NB,Baseline,21,0.873911071
3class_NB,Baseline,22,0.890192933
3class_NB,Baseline,23,0.863692932
3class_NB,Baseline,24,0.903311134
3class_NB,Baseline,25,0.854496399
3class_NB,Baseline,26,0.873732719
3class_NB,Baseline,27,0.864304877
3class_NB,Baseline,28,0.872454188
3class_NB,Baseline,29,0.840181042
3class_NB,Baseline,30,0.858322837
3class_NB,Baseline,31,0.865822006
3class_NB,Baseline,32,0.859101629
3class_NB,Baseline,33,0.886841741
3class_NB,Baseline,34,0.862079668
3class_NB,Baseline,35,0.87557188
3class_NB,Baseline,36,0.826274223
3class_NB,Baseline,37,0.849878738
3class_NB,Baseline,38,0.866590605
3class_NB,Baseline,39,0.855329996
3class_NB,Baseline,40,0.851171664
3class_NB,Baseline,41,0.857798601
3class_NB,Baseline,42,0.87580073
3class_NB,Baseline,43,0.883744682
3class_NB,Baseline,44,0.848093078
3class_NB,Baseline,45,0.880902573
3class_NB,Baseline,46,0.884764206
3class_NB,Baseline,47,0.874555442
3class_NB,Baseline,48,0.861313839
3class_NB,Baseline,49,0.84872288
3class_NB,Baseline,50,0.828974893
3class_NB,Option1,1,0.858932568
3class_NB,Option1,2,0.876824306
3class_NB,Option1,3,0.860781191
3class_NB,Option1,4,0.865431326
3class_NB,Option1,5,0.82142041
3class_NB,Option1,6,0.873382198
3class_NB,Option1,7,0.863494447
3class_NB,Option1,8,0.871062193
3class_NB,Option1,9,0.822179417
3class_NB,Option1,10,0.866702815
3class_NB,Option1,11,0.861207252
3class_NB,Option1,12,0.852196992
3class_NB,Option1,13,0.830937031
3class_NB,Option1,14,0.891984945
3class_NB,Option1,15,0.866098554
3class_NB,Option1,16,0.858585458
3class_NB,Option1,17,0.865046318
3class_NB,Option1,18,0.841326356
3class_NB,Option1,19,0.890639605
3class_NB,Option1,20,0.834521902
3class_NB,Option1,21,0.868889541
3class_NB,Option1,22,0.909173211
3class_NB,Option1,23,0.868298226
3class_NB,Option1,24,0.873072505
3class_NB,Option1,25,0.860317898
3class_NB,Option1,26,0.87589415
3class_NB,Option1,27,0.881389216
3class_NB,Option1,28,0.857273456
3class_NB,Option1,29,0.841386274
3class_NB,Option1,30,0.854228393
3class_NB,Option1,31,0.871202021
3class_NB,Option1,32,0.840714362
3class_NB,Option1,33,0.875802892
3class_NB,Option1,34,0.868933454
3class_NB,Option1,35,0.900900154
3class_NB,Option1,36,0.853539312
3class_NB,Option1,37,0.832029401
3class_NB,Option1,38,0.866917437
3class_NB,Option1,39,0.884665365
3class_NB,Option1,40,0.8638535
3class_NB,Option1,41,0.857798601
3class_NB,Option1,42,0.866137503
3class_NB,Option1,43,0.883789266
3class_NB,Option1,44,0.871473861
3class_NB,Option1,45,0.88530078
3class_NB,Option1,46,0.885839142
3class_NB,Option1,47,0.87007547
3class_NB,Option1,48,0.867154292
3class_NB,Option1,49,0.839402719
3class_NB,Option1,50,0.833226089
3class_NB,Option2,1,0.814758383
3class_NB,Option2,2,0.839615999
3class_NB,Option2,3,0.838595174
3class_NB,Option2,4,0.832536985
3class_NB,Option2,5,0.780992275
3class_NB,Option2,6,0.817412987
3class_NB,Option2,7,0.8108367
3class_NB,Option2,8,0.857773327
3class_NB,Option2,9,0.811865455
3class_NB,Option2,10,0.832854761
3class_NB,Option2,11,0.853290828
3class_NB,Option2,12,0.81170785
3class_NB,Option2,13,0.814107247
3class_NB,Option2,14,0.83492466
3class_NB,Option2,15,0.818590355
3class_NB,Option2,16,0.846987964
3class_NB,Option2,17,0.838631011
3class_NB,Option2,18,0.809707255
3class_NB,Option2,19,0.838853428
3class_NB,Option2,20,0.798320891
3class_NB,Option2,21,0.826054223
3class_NB,Option2,22,0.870711358
3class_NB,Option2,23,0.832593282
3class_NB,Option2,24,0.845716118
3class_NB,Option2,25,0.817853068
3class_NB,Option2,26,0.8442532
3class_NB,Option2,27,0.865772034
3class_NB,Option2,28,0.859273875
3class_NB,Option2,29,0.804479989
3class_NB,Option2,30,0.839727268
3class_NB,Option2,31,0.821576018
3class_NB,Option2,32,0.802934744
3class_NB,Option2,33,0.830586701
3class_NB,Option2,34,0.825839076
3class_NB,Option2,35,0.819827231
3class_NB,Option2,36,0.795607208
3class_NB,Option2,37,0.809260884
3class_NB,Option2,38,0.831039521
3class_NB,Option2,39,0.836829638
3class_NB,Option2,40,0.824276454
3class_NB,Option2,41,0.8169834
3class_NB,Option2,42,0.823559358
3class_NB,Option2,43,0.849445244
3class_NB,Option2,44,0.872112191
3class_NB,Option2,45,0.817343785
3class_NB,Option2,46,0.850946107
3class_NB,Option2,47,0.826486372
3class_NB,Option2,48,0.828734671
3class_NB,Option2,49,0.80975192
3class_NB,Option2,50,0.811950606
3class_NB,Option3,1,0.871995128
3class_NB,Option3,2,0.837403372
3class_NB,Option3,3,0.862486637
3class_NB,Option3,4,0.831680026
3class_NB,Option3,5,0.818955172
3class_NB,Option3,6,0.832816519
3class_NB,Option3,7,0.857725934
3class_NB,Option3,8,0.847204969
3class_NB,Option3,9,0.822234798
3class_NB,Option3,10,0.830824052
3class_NB,Option3,11,0.845649335
3class_NB,Option3,12,0.803126109
3class_NB,Option3,13,0.833212366
3class_NB,Option3,14,0.840994017
3class_NB,Option3,15,0.838639186
