Options,run,f5,f1,,,,,,,,,,
Pred.,41,0.907296,0.905149,,,,,kNN,0.543955,0.542998,,,
Pred.,42,0.915336,0.912087,,,,,kNN,0.539167,0.540031,,,
Pred.,43,0.91911,0.91602,,,,,kNN,0.57455,0.568331,,,
Pred.,44,0.923181,0.919419,,,,,kNN,0.554881,0.551277,,,
Pred.,45,0.918851,0.915241,,,,,kNN,0.552247,0.548619,,,
Pred.,46,0.912186,0.909664,,,,,kNN,0.574078,0.566091,,,
Pred.,47,0.9143,0.909901,,,,,kNN,0.5521,0.548067,,,
Pred.,48,0.913556,0.909997,,,,,kNN,0.571127,0.564231,,,
Pred.,49,0.911274,0.90863,,,,,kNN,0.565032,0.560098,,,
Pred.,50,0.912676,0.908933,,,,,kNN,0.550171,0.544841,,,
Vote,1,0.908991,0.908144,Overall precision:  0.90401 (+/- 0.00216),,,,SVM,0.885377,0.880207,Overall precision:  0.88435 (+/- 0.01740),,
Vote,2,0.89337,0.892552,Overall recall:     0.90098 (+/- 0.00227),,,,SVM,0.876411,0.871664,Overall recall:     0.86799 (+/- 0.01942),,
Vote,3,0.90028,0.899299,Overall f1-score:   0.90249,,,,SVM,0.881638,0.874965,Overall f1-score:   0.87609,,
Vote,4,0.904434,0.903352,Overall f0.5-score: 0.90340,,,,SVM,0.874897,0.870803,Overall f0.5-score: 0.88103,,
Vote,5,0.902876,0.901893,337.99,,,,SVM,0.879344,0.87546,196.0480001,,
Vote,6,0.902136,0.901431,0.90249314,0.002232035,,,SVM,0.884596,0.878744,0.8760898,0.002319974,
Vote,7,0.901711,0.900679,0.90340078,0.002200134,,,SVM,0.881861,0.877017,0.88102858,0.002432441,
Vote,8,0.900269,0.899292,,,,,SVM,0.879412,0.873057,,,
Vote,9,0.907655,0.906823,,,,,SVM,0.881026,0.876551,,,
Vote,10,0.904673,0.903501,,,,,SVM,0.883834,0.878337,,,
Vote,11,0.905325,0.904395,,,,,SVM,0.878609,0.875054,,,
Vote,12,0.904831,0.904087,,,,,SVM,0.889112,0.882984,,,
Vote,13,0.910049,0.909291,,,,,SVM,0.885553,0.881333,,,
Vote,14,0.904954,0.904164,,,,,SVM,0.877414,0.871838,,,
Vote,15,0.911019,0.910384,,,,,SVM,0.885638,0.880406,,,
Vote,16,0.907608,0.906794,,,,,SVM,0.887586,0.881596,,,
Vote,17,0.898208,0.897032,,,,,SVM,0.877126,0.873185,,,
Vote,18,0.900655,0.90002,,,,,SVM,0.877714,0.874043,,,
Vote,19,0.901764,0.900712,,,,,SVM,0.889502,0.883238,,,
Vote,20,0.905889,0.905234,,,,,SVM,0.885136,0.878603,,,
Vote,21,0.904131,0.903163,,,,,SVM,0.87777,0.876009,,,
Vote,22,0.899743,0.898964,,,,,SVM,0.884491,0.880663,,,
Vote,23,0.898467,0.897681,,,,,SVM,0.880434,0.874734,,,
Vote,24,0.901866,0.900776,,,,,SVM,0.879679,0.875197,,,
Vote,25,0.899331,0.89822,,,,,SVM,0.873515,0.867927,,,
Vote,26,0.911388,0.910614,,,,,SVM,0.88129,0.876727,,,
Vote,27,0.902745,0.901811,,,,,SVM,0.878396,0.873871,,,
Vote,28,0.90377,0.902938,,,,,SVM,0.882305,0.876833,,,
Vote,29,0.895449,0.894336,,,,,SVM,0.874904,0.86974,,,
Vote,30,0.903916,0.903029,,,,,SVM,0.88052,0.874799,,,
Vote,31,0.896567,0.895521,,,,,SVM,0.883353,0.878498,,,
Vote,32,0.906862,0.905841,,,,,SVM,0.8812,0.877141,,,
Vote,33,0.895721,0.894505,,,,,SVM,0.876028,0.869962,,,
Vote,34,0.896835,0.895688,,,,,SVM,0.875236,0.868963,,,
Vote,35,0.901272,0.900405,,,,,SVM,0.878746,0.873754,,,
Vote,36,0.902436,0.901619,,,,,SVM,0.881943,0.875139,,,
Vote,37,0.901233,0.90038,,,,,SVM,0.874146,0.869385,,,
Vote,38,0.908989,0.908143,,,,,SVM,0.87548,0.871139,,,
Vote,39,0.91172,0.910821,,,,,SVM,0.885595,0.880813,,,
Vote,40,0.909704,0.909076,,,,,SVM,0.888322,0.883045,,,
Vote,41,0.901707,0.900676,,,,,SVM,0.872856,0.869993,,,
Vote,42,0.902589,0.901714,,,,,SVM,0.875091,0.87138,,,
Vote,43,0.909095,0.908209,,,,,SVM,0.894046,0.889126,,,
Vote,44,0.909754,0.90862,,,,,SVM,0.88626,0.880255,,,
Vote,45,0.904898,0.904129,,,,,SVM,0.874563,0.870013,,,
Vote,46,0.902844,0.901873,,,,,SVM,0.886126,0.882701,,,
Vote,47,0.904915,0.904139,,,,,SVM,0.883258,0.878364,,,
Vote,48,0.898688,0.897819,,,,,SVM,0.879717,0.875715,,,
Vote,49,0.904005,0.903084,,,,,SVM,0.886929,0.881229,,,
Vote,50,0.902702,0.901784,,,,,SVM,0.877444,0.87229,,,
NB,1,0.914366,0.909979,Overall precision:  0.91155 (+/- 0.01478),,,,,,,,,
NB,2,0.897061,0.893379,Overall recall:     0.89927 (+/- 0.01597),,,,,,,,,
NB,3,0.90844,0.904901,Overall f1-score:   0.90537,,,,,,,,,
NB,4,0.917045,0.913678,Overall f0.5-score: 0.90907,,,,,,,,,
NB,5,0.908641,0.904431,6.786000013,,,,,,,,,
NB,6,0.913952,0.910748,0.90536828,0.002414791,,,,,,,,
NB,7,0.906093,0.901927,0.9090663,0.00258056,,,,,,,,
NB,8,0.913027,0.908186,,,,,,,,,,
NB,9,0.908687,0.905041,,,,,,,,,,
NB,10,0.909318,0.905395,,,,,,,,,,
NB,11,0.912611,0.908436,,,,,,,,,,
NB,12,0.903812,0.900476,,,,,,,,,,
NB,13,0.918373,0.914032,,,,,,,,,,
NB,14,0.907313,0.903658,,,,,,,,,,
NB,15,0.911083,0.907489,,,,,,,,,,
NB,16,0.92061,0.914856,,,,,,,,,,
NB,17,0.903172,0.900633,,,,,,,,,,
NB,18,0.909736,0.906148,,,,,,,,,,
