classifier,featuresnum,features,metrics,value
Ridge,2953,100,f0.5,0.905562
SVM,59,2,f0.5,0.621846
SVM,118,4,f0.5,0.711305
SVM,177,6,f0.5,0.773002
SVM,236,8,f0.5,0.833797
SVM,295,10,f0.5,0.854436
SVM,354,12,f0.5,0.869719
SVM,413,14,f0.5,0.878443
SVM,472,16,f0.5,0.879282
SVM,531,18,f0.5,0.87866
SVM,590,20,f0.5,0.880536
SVM,650,22,f0.5,0.875625
SVM,710,24,f0.5,0.877458
SVM,770,26,f0.5,0.880364
SVM,826,28,f0.5,0.881245
SVM,885,30,f0.5,0.88574
SVM,944,32,f0.5,0.888081
SVM,1004,34,f0.5,0.884671
SVM,1063,36,f0.5,0.883319
SVM,1122,38,f0.5,0.883828
SVM,1181,40,f0.5,0.882305
SVM,1240,42,f0.5,0.882862
SVM,1299,44,f0.5,0.882223
SVM,1358,46,f0.5,0.880715
SVM,1417,48,f0.5,0.883096
SVM,1476,50,f0.5,0.881358
SVM,1535,52,f0.5,0.880689
SVM,1595,54,f0.5,0.879766
SVM,1653,56,f0.5,0.880239
SVM,1715,58,f0.5,0.882084
SVM,1771,60,f0.5,0.880627
SVM,1830,62,f0.5,0.879625
SVM,1889,64,f0.5,0.87752
SVM,1948,66,f0.5,0.877647
SVM,2008,68,f0.5,0.880124
SVM,2067,70,f0.5,0.879053
SVM,2126,72,f0.5,0.8799
SVM,2185,74,f0.5,0.880798
SVM,2244,76,f0.5,0.880346
SVM,2306,78,f0.5,0.879901
SVM,2364,80,f0.5,0.880071
SVM,2421,82,f0.5,0.878044
SVM,2480,84,f0.5,0.878385
SVM,2539,86,f0.5,0.877179
SVM,2600,88,f0.5,0.876647
SVM,2663,90,f0.5,0.876036
SVM,2716,92,f0.5,0.876415
SVM,2776,94,f0.5,0.876528
SVM,2834,96,f0.5,0.876237
SVM,2897,98,f0.5,0.877019
SVM,2953,100,f0.5,0.876811
LSVM,59,2,f0.5,0.65512
LSVM,118,4,f0.5,0.739619
LSVM,177,6,f0.5,0.787746
LSVM,236,8,f0.5,0.836637
LSVM,295,10,f0.5,0.855834
LSVM,354,12,f0.5,0.881732
LSVM,413,14,f0.5,0.888867
LSVM,472,16,f0.5,0.899252
LSVM,531,18,f0.5,0.903717
LSVM,590,20,f0.5,0.9067
LSVM,650,22,f0.5,0.901688
LSVM,710,24,f0.5,0.902137
LSVM,770,26,f0.5,0.90419
LSVM,826,28,f0.5,0.906355
LSVM,885,30,f0.5,0.906795
LSVM,944,32,f0.5,0.907522
LSVM,1004,34,f0.5,0.910282
LSVM,1063,36,f0.5,0.910606
LSVM,1122,38,f0.5,0.91183
LSVM,1181,40,f0.5,0.908521
LSVM,1240,42,f0.5,0.909176
LSVM,1299,44,f0.5,0.908786
LSVM,1358,46,f0.5,0.909409
LSVM,1417,48,f0.5,0.909091
LSVM,1476,50,f0.5,0.908375
LSVM,1535,52,f0.5,0.909111
LSVM,1595,54,f0.5,0.908795
LSVM,1653,56,f0.5,0.907003
LSVM,1715,58,f0.5,0.907386
LSVM,1771,60,f0.5,0.906995
LSVM,1830,62,f0.5,0.90772
LSVM,1889,64,f0.5,0.904853
LSVM,1948,66,f0.5,0.904941
LSVM,2008,68,f0.5,0.90485
LSVM,2067,70,f0.5,0.90526
LSVM,2126,72,f0.5,0.905085
LSVM,2185,74,f0.5,0.904882
LSVM,2244,76,f0.5,0.904704
LSVM,2306,78,f0.5,0.905219
